Algorithm;Average Episodes Until Trained;Best Episodes Until Trained;Average Steps Once Trained;Best Steps Once Trained;Best Path Once Trained
QLearning;7;6;35;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
QLearning;70;8;34;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
QLearning;69;11;42;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
QLearning;77;27;56;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
QLearning;86;24;60;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
QLearning;28;9;97;8;P[0, 4]->P[0, 3]->P[1, 3]->P[1, 2]->P[2, 2]->P[3, 2]->P[4, 2]->P[4, 3]->P[4, 4]
QLearning;69;22;62;6;P[0, 4]->P[0, 3]->P[1, 3]->P[2, 3]->P[3, 3]->P[4, 3]->P[4, 4]
